bitLength,rule,step,hexInitBits
100,99,100,7c9a4f2b1d3e856402fc7b9e3
100,100,100,7c9a4f2b1d3e856402fc7b9e3
100,101,100,7c9a4f2b1d3e856402fc7b9e3
100,102,100,7c9a4f2b1d3e856402fc7b9e3
100,103,100,7c9a4f2b1d3e856402fc7b9e3
100,104,100,7c9a4f2b1d3e856402fc7b9e3
100,105,100,7c9a4f2b1d3e856402fc7b9e3
100,106,100,7c9a4f2b1d3e856402fc7b9e3
100,107,100,7c9a4f2b1d3e856402fc7b9e3
100,108,100,7c9a4f2b1d3e856402fc7b9e3
100,109,100,7c9a4f2b1d3e856402fc7b9e3
100,110,100,7c9a4f2b1d3e856402fc7b9e3
100,111,100,7c9a4f2b1d3e856402fc7b9e3
100,112,100,7c9a4f2b1d3e856402fc7b9e3
100,113,100,7c9a4f2b1d3e856402fc7b9e3
100,114,100,7c9a4f2b1d3e856402fc7b9e3
100,115,100,7c9a4f2b1d3e856402fc7b9e3
100,116,100,7c9a4f2b1d3e856402fc7b9e3
100,117,100,7c9a4f2b1d3e856402fc7b9e3
100,118,100,7c9a4f2b1d3e856402fc7b9e3
100,119,100,7c9a4f2b1d3e856402fc7b9e3
100,120,100,7c9a4f2b1d3e856402fc7b9e3
100,121,100,7c9a4f2b1d3e856402fc7b9e3
100,122,100,7c9a4f2b1d3e856402fc7b9e3
100,123,100,7c9a4f2b1d3e856402fc7b9e3
100,124,100,7c9a4f2b1d3e856402fc7b9e3
100,125,100,7c9a4f2b1d3e856402fc7b9e3
100,126,100,7c9a4f2b1d3e856402fc7b9e3
100,127,100,7c9a4f2b1d3e856402fc7b9e3
100,128,100,7c9a4f2b1d3e856402fc7b9e3
100,129,100,7c9a4f2b1d3e856402fc7b9e3
100,130,100,7c9a4f2b1d3e856402fc7b9e3
100,131,100,7c9a4f2b1d3e856402fc7b9e3
100,132,100,7c9a4f2b1d3e856402fc7b9e3
100,133,100,7c9a4f2b1d3e856402fc7b9e3
100,134,100,7c9a4f2b1d3e856402fc7b9e3
100,135,100,7c9a4f2b1d3e856402fc7b9e3
100,136,100,7c9a4f2b1d3e856402fc7b9e3
100,137,100,7c9a4f2b1d3e856402fc7b9e3
100,138,100,7c9a4f2b1d3e856402fc7b9e3
100,139,100,7c9a4f2b1d3e856402fc7b9e3
100,140,100,7c9a4f2b1d3e856402fc7b9e3
100,141,100,7c9a4f2b1d3e856402fc7b9e3
100,142,100,7c9a4f2b1d3e856402fc7b9e3
100,143,100,7c9a4f2b1d3e856402fc7b9e3
100,144,100,7c9a4f2b1d3e856402fc7b9e3
100,145,100,7c9a4f2b1d3e856402fc7b9e3
100,146,100,7c9a4f2b1d3e856402fc7b9e3
100,147,100,7c9a4f2b1d3e856402fc7b9e3
100,148,100,7c9a4f2b1d3e856402fc7b9e3
100,149,100,7c9a4f2b1d3e856402fc7b9e3
100,150,100,7c9a4f2b1d3e856402fc7b9e3
100,151,100,7c9a4f2b1d3e856402fc7b9e3
100,152,100,7c9a4f2b1d3e856402fc7b9e3
100,153,100,7c9a4f2b1d3e856402fc7b9e3
100,154,100,7c9a4f2b1d3e856402fc7b9e3
100,155,100,7c9a4f2b1d3e856402fc7b9e3
100,156,100,7c9a4f2b1d3e856402fc7b9e3
100,157,100,7c9a4f2b1d3e856402fc7b9e3
